Title,Authors,Date,Pureportal,Pub Link
Financial contagion effects of major crises in African stock markets,"Bello, J.,Newaz, M. K.",Jul 2022,"https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello,https://pureportal.coventry.ac.uk/en/persons/mohammad-khaleq-newaz",https://pureportal.coventry.ac.uk/en/publications/financial-contagion-effects-of-major-crises-in-african-stock-mark
"FinTech, financial inclusion and income inequality: A quantile regression approach",,2022,,https://pureportal.coventry.ac.uk/en/publications/fintech-financial-inclusion-and-income-inequality-a-quantile-regr
Future of education and research: a preliminary thematic analysis ,"Huston, S.",2 May 2022,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/future-of-education-and-research-a-preliminary-thematic-analysis
Gender Diversity and Financial Statement Fraud,"Yu, M.",1 Mar 2022,https://pureportal.coventry.ac.uk/en/persons/mei-yu,https://pureportal.coventry.ac.uk/en/publications/gender-diversity-and-financial-statement-fraud
IFRS 8 and the cost of capital in Europe,"Saleh, A.",19 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/ahmed-saleh,https://pureportal.coventry.ac.uk/en/publications/ifrs-8-and-the-cost-of-capital-in-europe
Interbank liquidity risk transmission to large emerging markets in crisis periods,"Zarei, A.,Hosseini, M.",Jul 2022,"https://pureportal.coventry.ac.uk/en/persons/alireza-zarei,https://pureportal.coventry.ac.uk/en/persons/mehdi-hosseini",https://pureportal.coventry.ac.uk/en/publications/interbank-liquidity-risk-transmission-to-large-emerging-markets-i
Is there a trade-off between accrual-based and real earnings management activities in the presence of (fe) male auditors?,"Owusu, A.",Feb 2022,https://pureportal.coventry.ac.uk/en/persons/andrews-owusu,https://pureportal.coventry.ac.uk/en/publications/is-there-a-trade-off-between-accrual-based-and-real-earnings-mana
Kuala Lumpur - from a tin mining settlement to a neoliberal stronghold of Southeast Asia,"Huston, S.",22 Feb 2022,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/kuala-lumpur-from-a-tin-mining-settlement-to-a-neoliberal-strongh
Measuring the impact of corporate governance on non-financial reporting in the top HEIs worldwide,"Chhatbar, M.",12 May 2022,https://pureportal.coventry.ac.uk/en/persons/mehul-chhatbar,https://pureportal.coventry.ac.uk/en/publications/measuring-the-impact-of-corporate-governance-on-non-financial-rep
Middle Eastern Extinctions: Building a Religious Motivation for Species Protection,"Al Montaser, T.",30 May 2022,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser,https://pureportal.coventry.ac.uk/en/publications/middle-eastern-extinctions-building-a-religious-motivation-for-sp
Non‑executive employee ownership and financial reporting quality: evidence from Europe,"Alhaj Ismail, A.",22 Apr 2022,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail,https://pureportal.coventry.ac.uk/en/publications/nonexecutive-employee-ownership-and-financial-reporting-quality-e
Price run-ups and insider trading laws under different regulatory environments,"Panetsidou, S. E.,Synapis, A.",Aug 2022,"https://pureportal.coventry.ac.uk/en/persons/styliani-elina-panetsidou,https://pureportal.coventry.ac.uk/en/persons/angelos-synapis",https://pureportal.coventry.ac.uk/en/publications/price-run-ups-and-insider-trading-laws-under-different-regulatory
Smart city dynamics and multi-level management accounting: unfolding a case of sustainable enterprise resource planning,"Alsaid, L.",3 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid,https://pureportal.coventry.ac.uk/en/publications/smart-city-dynamics-and-multi-level-management-accounting-unfoldi
Socially responsible investment (SRI) Sukuk as a financing alternative for post COVID-19 development project,"Hasan, R.",19 Apr 2022,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/socially-responsible-investment-sri-sukuk-as-a-financing-alternat
Strategic Trading and Ricardian Comparative Advantage,,Mar 2022,,https://pureportal.coventry.ac.uk/en/publications/strategic-trading-and-ricardian-comparative-advantage
Students' feedback experiences and expectations pre- and post-university entry,,29 Jan 2022,,https://pureportal.coventry.ac.uk/en/publications/students-feedback-experiences-and-expectations-pre-and-post-unive
"Sustainability accounting and reporting: an ablative reflexive thematic analysis of climate crisis, conservative or radical reform paradigms","Huston, S.",2 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-an-ablative-reflexive-the
Sustainability accounting and reporting: Technical summary,"Huston, S.",30 May 2022,https://pureportal.coventry.ac.uk/en/persons/simon-huston,https://pureportal.coventry.ac.uk/en/publications/sustainability-accounting-and-reporting-technical-summary
The diffusion of innovation theory and the effects of IFRS adoption by multinational corporations on capital market performance: a cross-country analysis,"Elmghaamez, I.",1 Jan 2022,https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez,https://pureportal.coventry.ac.uk/en/publications/the-diffusion-of-innovation-theory-and-the-effects-of-ifrs-adopti
The nexus between environmental and financial performance: Evidence from gulf cooperative council banks,"Hasan, R.",31 Mar 2022,https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan,https://pureportal.coventry.ac.uk/en/publications/the-nexus-between-environmental-and-financial-performance-evidenc
The relative effectiveness of R&D tax credits and R&D subsidies: A comparative Meta-Regression Analysis,"Hisarciklilar, M.",Jul 2022,https://pureportal.coventry.ac.uk/en/persons/mehtap-hisarciklilar,https://pureportal.coventry.ac.uk/en/publications/the-relative-effectiveness-of-rampd-tax-credits-and-rampd-subsidi
The rise and fall of institutional entrepreneurship in Islamic financial reporting standardisation projects,"Abras, A.",10 Apr 2022,https://pureportal.coventry.ac.uk/en/persons/ahmad-abras,https://pureportal.coventry.ac.uk/en/publications/the-rise-and-fall-of-institutional-entrepreneurship-in-islamic-fi
